Timestamp,global
2025-03-03 00:00:00,157
2025-03-03 00:05:50,160
2025-03-03 00:10:50,163
2025-03-03 00:15:50,168
2025-03-03 00:20:50,168
2025-03-03 00:25:50,172
2025-03-03 00:30:50,173
2025-03-03 00:35:50,174
2025-03-03 00:40:50,176
2025-03-03 00:45:50,180
2025-03-03 00:50:50,183
2025-03-03 00:55:50,187
2025-03-03 01:00:00,189
2025-03-03 01:05:50,189
2025-03-03 01:10:50,191
2025-03-03 01:15:50,191
2025-03-03 01:20:50,191
2025-03-03 01:25:50,196
2025-03-03 01:30:50,199
2025-03-03 01:35:50,201
2025-03-03 01:40:50,203
2025-03-03 01:45:50,206
2025-03-03 01:50:50,206
2025-03-03 01:55:50,209
2025-03-03 02:00:00,209
2025-03-03 02:05:55,211
2025-03-03 02:10:55,210
2025-03-03 02:15:55,211
2025-03-03 02:20:55,210
2025-03-03 02:25:55,211
2025-03-03 02:30:55,213
2025-03-03 02:35:55,212
2025-03-03 02:40:55,211
2025-03-03 02:45:55,210
2025-03-03 02:50:55,213
2025-03-03 02:55:55,216
2025-03-03 03:00:00,217
2025-03-03 03:05:42,216
2025-03-03 03:10:42,216
2025-03-03 03:15:42,218
2025-03-03 03:20:42,220
2025-03-03 03:25:42,224
2025-03-03 03:30:42,225
2025-03-03 03:35:42,224
2025-03-03 03:40:42,227
2025-03-03 03:45:42,232
2025-03-03 03:50:42,232
2025-03-03 03:55:42,232
2025-03-03 04:00:00,234
2025-03-03 04:05:53,236
2025-03-03 04:10:53,236
2025-03-03 04:15:53,238
2025-03-03 04:20:53,238
2025-03-03 04:25:53,241
2025-03-03 04:30:53,241
2025-03-03 04:35:53,241
2025-03-03 04:40:53,243
2025-03-03 04:45:53,243
2025-03-03 04:50:53,245
2025-03-03 04:55:53,247
2025-03-03 05:00:00,250
2025-03-03 05:05:39,252
2025-03-03 05:10:39,253
2025-03-03 05:15:39,251
2025-03-03 05:20:39,253
2025-03-03 05:25:39,252
2025-03-03 05:30:39,255
2025-03-03 05:35:39,257
2025-03-03 05:40:39,257
2025-03-03 05:45:39,258
2025-03-03 05:50:39,262
2025-03-03 05:55:39,263
2025-03-03 06:00:00,260
2025-03-03 06:05:44,262
2025-03-03 06:10:44,267
2025-03-03 06:15:44,264
2025-03-03 06:20:44,265
2025-03-03 06:25:44,269
2025-03-03 06:30:44,267
2025-03-03 06:35:44,267
2025-03-03 06:40:44,269
2025-03-03 06:45:44,273
2025-03-03 06:50:44,273
2025-03-03 06:55:44,272
2025-03-03 07:00:00,270
2025-03-03 07:05:52,272
2025-03-03 07:10:52,272
2025-03-03 07:15:52,272
2025-03-03 07:20:52,270
2025-03-03 07:25:52,272
2025-03-03 07:30:52,270
2025-03-03 07:35:52,271
2025-03-03 07:40:52,271
2025-03-03 07:45:52,270
2025-03-03 07:50:52,272
2025-03-03 07:55:52,273
2025-03-03 08:00:00,274
2025-03-03 08:06:12,273
2025-03-03 08:11:12,269
2025-03-03 08:16:12,264
2025-03-03 08:21:12,265
2025-03-03 08:26:12,263
2025-03-03 08:31:12,262
2025-03-03 08:36:12,257
2025-03-03 08:41:12,257
2025-03-03 08:46:12,258
2025-03-03 08:51:12,259
2025-03-03 08:56:12,259
2025-03-03 09:00:00,256
2025-03-03 09:05:38,257
2025-03-03 09:10:38,254
2025-03-03 09:15:38,252
2025-03-03 09:20:38,252
2025-03-03 09:25:38,253
2025-03-03 09:30:38,252
2025-03-03 09:35:38,251
2025-03-03 09:40:38,252
2025-03-03 09:45:38,254
2025-03-03 09:50:38,255
2025-03-03 09:55:38,254
2025-03-03 10:00:00,251
2025-03-03 10:05:51,252
2025-03-03 10:10:51,253
2025-03-03 10:15:51,253
2025-03-03 10:20:51,255
2025-03-03 10:25:51,257
2025-03-03 10:30:51,258
2025-03-03 10:35:51,262
2025-03-03 10:40:51,263
2025-03-03 10:45:51,268
2025-03-03 10:50:51,269
2025-03-03 10:55:51,268
2025-03-03 11:00:00,268
2025-03-03 11:05:49,270
2025-03-03 11:10:49,269
2025-03-03 11:15:49,267
2025-03-03 11:20:49,269
2025-03-03 11:25:49,271
2025-03-03 11:30:49,270
2025-03-03 11:35:49,271
2025-03-03 11:40:49,270
2025-03-03 11:45:49,270
2025-03-03 11:50:49,270
2025-03-03 11:55:49,272
2025-03-03 12:00:00,272
2025-03-03 12:05:47,276
2025-03-03 12:10:47,279
2025-03-03 12:15:47,279
2025-03-03 12:20:47,284
2025-03-03 12:25:47,284
2025-03-03 12:30:47,285
2025-03-03 12:35:47,285
2025-03-03 12:40:47,285
2025-03-03 12:45:47,284
2025-03-03 12:50:47,286
2025-03-03 12:55:47,287
2025-03-03 13:00:00,282
2025-03-03 13:05:47,282
2025-03-03 13:10:47,279
2025-03-03 13:15:47,278
2025-03-03 13:20:47,279
2025-03-03 13:25:47,281
2025-03-03 13:30:47,282
2025-03-03 13:35:47,280
2025-03-03 13:40:47,281
2025-03-03 13:45:47,280
2025-03-03 13:50:47,280
2025-03-03 13:55:47,278
2025-03-03 14:00:00,274
2025-03-03 14:05:47,280
2025-03-03 14:10:47,281
2025-03-03 14:15:47,282
2025-03-03 14:20:47,280
2025-03-03 14:25:47,281
2025-03-03 14:30:47,283
2025-03-03 14:35:47,284
2025-03-03 14:40:47,287
2025-03-03 14:45:47,286
2025-03-03 14:50:47,286
2025-03-03 14:55:47,290
2025-03-03 15:00:00,292
2025-03-03 15:05:43,290
2025-03-03 15:10:43,287
2025-03-03 15:15:43,288
2025-03-03 15:20:43,289
2025-03-03 15:25:43,291
2025-03-03 15:30:43,292
2025-03-03 15:35:43,289
2025-03-03 15:40:43,290
2025-03-03 15:45:43,291
2025-03-03 15:50:43,289
2025-03-03 15:55:43,288
2025-03-03 16:00:00,285
2025-03-03 16:05:50,287
2025-03-03 16:10:50,287
2025-03-03 16:15:50,285
2025-03-03 16:20:50,284
2025-03-03 16:25:50,280
2025-03-03 16:30:50,283
2025-03-03 16:35:50,280
2025-03-03 16:40:50,278
2025-03-03 16:45:50,276
2025-03-03 16:50:50,273
2025-03-03 16:55:50,274
2025-03-03 17:00:00,271
2025-03-03 17:05:46,270
2025-03-03 17:10:46,269
2025-03-03 17:15:46,268
2025-03-03 17:20:46,270
2025-03-03 17:25:46,271
2025-03-03 17:30:46,268
2025-03-03 17:35:46,266
2025-03-03 17:40:46,264
2025-03-03 17:45:46,262
2025-03-03 17:50:46,262
2025-03-03 17:55:46,260
2025-03-03 18:00:00,258
2025-03-03 18:05:42,261
2025-03-03 18:10:42,261
2025-03-03 18:15:42,261
2025-03-03 18:20:42,260
2025-03-03 18:25:42,260
2025-03-03 18:30:42,263
2025-03-03 18:35:42,260
2025-03-03 18:40:42,259
2025-03-03 18:45:42,258
2025-03-03 18:50:42,258
2025-03-03 18:55:42,259
2025-03-03 19:00:00,260
2025-03-03 19:06:23,261
2025-03-03 19:11:23,262
2025-03-03 19:16:23,262
2025-03-03 19:21:23,263
2025-03-03 19:26:23,268
2025-03-03 19:31:23,268
2025-03-03 19:36:23,269
2025-03-03 19:41:23,269
2025-03-03 19:46:23,269
2025-03-03 19:51:23,268
2025-03-03 19:56:23,267
2025-03-03 20:00:00,267
2025-03-03 20:05:45,269
2025-03-03 20:10:45,268
2025-03-03 20:15:45,271
2025-03-03 20:20:45,268
2025-03-03 20:25:45,271
2025-03-03 20:30:45,272
2025-03-03 20:35:45,270
2025-03-03 20:40:45,268
2025-03-03 20:45:45,271
2025-03-03 20:50:45,270
2025-03-03 20:55:45,267
2025-03-03 21:00:00,266
2025-03-03 21:05:42,269
2025-03-03 21:10:42,272
2025-03-03 21:15:42,272
2025-03-03 21:20:42,269
2025-03-03 21:25:42,270
2025-03-03 21:30:42,270
2025-03-03 21:35:42,270
2025-03-03 21:40:42,270
2025-03-03 21:45:42,272
2025-03-03 21:50:42,270
2025-03-03 21:55:42,269
2025-03-03 22:00:00,268
2025-03-03 22:05:45,272
2025-03-03 22:10:45,273
2025-03-03 22:15:45,275
2025-03-03 22:20:45,275
2025-03-03 22:25:45,278
2025-03-03 22:30:45,277
2025-03-03 22:35:45,280
2025-03-03 22:40:45,283
2025-03-03 22:45:45,285
2025-03-03 22:50:45,286
2025-03-03 22:55:45,284
2025-03-03 23:00:00,282
2025-03-03 23:05:51,287
2025-03-03 23:10:51,286
2025-03-03 23:15:51,283
2025-03-03 23:20:51,282
2025-03-03 23:25:51,281
2025-03-03 23:30:51,280
2025-03-03 23:35:51,279
2025-03-03 23:40:51,277
2025-03-03 23:45:51,275
2025-03-03 23:50:51,273
2025-03-03 23:55:51,272
2025-03-04 00:00:00,272
2025-03-04 00:05:55,272
